Date,Real,Predict
29/06,127,127
30/06,96,96
01/07,86,86
02/07,73,73
03/07,52,52
04/07,21,21
05/07,13,13
06/07,17,17
07/07,16,16
08/07,18,18
09/07,22,20
10/07,16,24
11/07,17,17
12/07,24,18
13/07,38,26
14/07,36,42
15/07,42,40
16/07,45,46
17/07,45,49
18/07,38,49
19/07,32,42
20/07,37,36
21/07,38,41
22/07,43,42
23/07,45,47
24/07,54,49
25/07,46,59
26/07,48,51
27/07,49,53
28/07,55,53
29/07,57,61
30/07,89,63
31/07,94,99
01/08,105,104
02/08,110,116
03/08,124,122
04/08,104,138
05/08,92,116
06/08,88,103
07/08,92,97
08/08,88,102
09/08,116,98
10/08,147,129
11/08,171,163
12/08,178,190
13/08,206,197
14/08,225,229
15/08,222,249
16/08,225,246
17/08,263,249
18/08,,292
19/08,,323
20/08,,357
21/08,,392
22/08,,430
23/08,,472
24/08,,516
25/08,,565
26/08,,619
27/08,,678
28/08,,745
29/08,,819
