Date,Real,Predict
29/06,39,39
30/06,26,26
01/07,23,23
02/07,23,23
03/07,22,22
04/07,3,3
05/07,3,3
06/07,9,9
07/07,8,8
08/07,8,8
09/07,10,11
10/07,9,14
11/07,3,12
12/07,4,5
13/07,6,6
14/07,4,8
15/07,5,6
16/07,6,6
17/07,8,8
18/07,6,10
19/07,6,8
20/07,9,9
21/07,7,12
22/07,7,10
23/07,11,10
24/07,17,14
25/07,19,23
26/07,20,25
27/07,22,27
28/07,21,29
29/07,17,28
30/07,17,23
31/07,17,23
01/08,22,22
02/08,22,29
03/08,21,28
04/08,19,28
05/08,21,25
06/08,19,28
07/08,23,25
08/08,32,30
09/08,38,42
10/08,45,50
11/08,50,58
12/08,95,65
13/08,125,124
14/08,169,163
15/08,196,222
16/08,247,256
17/08,217,323
18/08,213,283
19/08,212,279
20/08,280,278
21/08,300,366
22/08,369,392
23/08,350,482
24/08,316,457
25/08,303,413
26/08,260,395
27/08,202,337
28/08,,437
29/08,,566
30/08,,732
31/08,,944
01/09,,1215
02/09,,1563
03/09,,2007
04/09,,2573
05/09,,3296
06/09,,4213
07/09,,5376
08/09,,6841
09/09,,8678
10/09,,10963
11/09,,13769
