Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,0,0
05/07,1,1
06/07,1,1
07/07,1,1
08/07,1,1
09/07,1,1
10/07,1,1
11/07,1,1
12/07,2,1
13/07,2,2
14/07,2,2
15/07,3,2
16/07,3,3
17/07,3,3
18/07,4,3
19/07,4,4
20/07,4,5
21/07,4,5
22/07,4,5
23/07,5,5
24/07,6,6
25/07,6,7
26/07,7,7
27/07,8,8
28/07,9,9
29/07,10,10
30/07,11,11
31/07,14,12
01/08,16,15
02/08,19,17
03/08,21,20
04/08,25,22
05/08,28,26
06/08,29,29
07/08,30,30
08/08,31,31
09/08,32,32
10/08,40,33
11/08,41,41
12/08,49,42
13/08,51,50
14/08,57,52
15/08,62,58
16/08,69,63
17/08,71,70
18/08,81,72
19/08,87,74
20/08,94,75
21/08,101,76
22/08,110,78
23/08,,79
24/08,,80
25/08,,81
26/08,,82
27/08,,83
28/08,,84
29/08,,85
