Date,Real,Predict
29/06,1218,1218
30/06,1351,1351
01/07,79,79
02/07,67,67
03/07,45,45
04/07,218,218
05/07,57,57
06/07,16,16
07/07,38,38
08/07,11,11
09/07,47,195
10/07,126,46
11/07,77,125
12/07,83,76
13/07,49,82
14/07,180,48
15/07,83,179
16/07,23,82
17/07,61,22
18/07,105,60
19/07,43,104
20/07,109,42
21/07,202,108
22/07,119,200
23/07,381,118
24/07,246,376
25/07,290,243
26/07,424,287
27/07,274,420
28/07,36,272
29/07,261,35
30/07,173,256
31/07,149,170
01/08,361,146
02/08,303,354
03/08,231,298
04/08,244,227
05/08,165,239
06/08,138,162
07/08,165,135
08/08,174,162
09/08,163,171
10/08,183,161
11/08,125,180
12/08,172,123
13/08,173,169
14/08,115,170
15/08,327,113
16/08,136,121
17/08,197,119
18/08,231,116
19/08,208,114
20/08,,112
21/08,,110
22/08,,108
23/08,,106
24/08,,104
25/08,,102
26/08,,100
