Date,Real,Predict
29/06,641,641
30/06,650,650
01/07,244,244
02/07,88,88
03/07,14,14
04/07,15,15
05/07,91,91
06/07,4,4
07/07,15,15
08/07,4,4
09/07,3,262
10/07,2,3
11/07,333,2
12/07,111,331
13/07,17,110
14/07,17,17
15/07,111,17
16/07,23,109
17/07,40,23
18/07,81,39
19/07,76,80
20/07,83,75
21/07,14,82
22/07,124,13
23/07,76,123
24/07,99,75
25/07,224,97
26/07,16,221
27/07,205,15
28/07,14,203
29/07,239,13
30/07,44,234
31/07,46,43
01/08,41,45
02/08,94,40
03/08,85,92
04/08,156,83
05/08,63,152
06/08,134,62
07/08,53,131
08/08,97,53
09/08,144,95
10/08,147,144
11/08,192,235
12/08,306,235
13/08,50,236
14/08,219,237
15/08,,239
16/08,,242
17/08,,248
18/08,,255
19/08,,265
20/08,,279
21/08,,298
