Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,1,1
05/07,1,1
06/07,1,1
07/07,1,1
08/07,1,1
09/07,2,16
10/07,3,18
11/07,3,21
12/07,3,22
13/07,3,22
14/07,4,22
15/07,4,25
16/07,5,25
17/07,6,28
18/07,8,30
19/07,8,35
20/07,9,36
21/07,10,40
22/07,12,42
23/07,13,47
24/07,16,48
25/07,18,53
26/07,20,56
27/07,21,61
28/07,24,63
29/07,31,66
30/07,35,73
31/07,36,78
01/08,41,79
02/08,47,84
03/08,51,91
04/08,62,95
05/08,64,106
06/08,76,108
07/08,81,121
08/08,88,127
09/08,101,134
10/08,117,149
11/08,128,165
12/08,137,177
13/08,154,187
14/08,175,206
15/08,185,228
16/08,204,239
17/08,231,258
18/08,246,287
19/08,266,303
20/08,283,325
21/08,305,343
22/08,316,367
23/08,340,379
24/08,357,406
25/08,384,426
26/08,411,458
27/08,439,488
28/08,477,521
29/08,511,566
30/08,542,594
31/08,589,700
01/09,612,828
02/09,640,978
03/09,661,1148
04/09,,1338
05/09,,1546
06/09,,1770
07/09,,2009
08/09,,2261
09/09,,2527
10/09,,2809
