Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,0,0
05/07,1,1
06/07,2,2
07/07,2,2
08/07,2,2
09/07,2,2
10/07,3,2
11/07,3,3
12/07,4,3
13/07,4,4
14/07,4,4
15/07,5,4
16/07,5,5
17/07,6,5
18/07,8,6
19/07,9,8
20/07,10,9
21/07,14,10
22/07,14,14
23/07,17,14
24/07,20,17
25/07,22,20
26/07,26,22
27/07,29,26
28/07,32,29
29/07,38,32
30/07,42,38
31/07,45,42
01/08,51,45
02/08,55,51
03/08,59,55
04/08,68,59
05/08,71,68
06/08,80,71
07/08,86,80
08/08,93,86
09/08,104,93
10/08,119,104
11/08,130,119
12/08,135,130
13/08,144,135
14/08,151,144
15/08,168,151
16/08,185,168
17/08,200,185
18/08,209,201
19/08,219,210
20/08,234,220
21/08,237,235
22/08,253,238
23/08,265,254
24/08,273,266
25/08,279,274
26/08,281,280
27/08,288,282
28/08,291,289
29/08,294,290
30/08,300,291
31/08,308,292
01/09,316,293
02/09,322,295
03/09,,296
04/09,,298
05/09,,300
06/09,,302
07/09,,304
08/09,,307
09/09,,310
10/09,,313
11/09,,316
12/09,,319
