Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,0,0
05/07,1,1
06/07,1,1
07/07,1,1
08/07,1,1
09/07,1,23
10/07,1,24
11/07,1,25
12/07,2,28
13/07,2,34
14/07,2,34
15/07,3,38
16/07,3,41
17/07,3,44
18/07,4,45
19/07,4,49
20/07,4,51
21/07,4,53
22/07,4,55
23/07,5,56
24/07,6,59
25/07,6,62
26/07,7,63
27/07,8,65
28/07,9,69
29/07,10,69
30/07,11,70
31/07,14,72
01/08,16,76
02/08,19,78
03/08,21,82
04/08,25,85
05/08,28,89
06/08,29,93
07/08,30,94
08/08,31,95
09/08,32,96
10/08,40,97
11/08,41,160
12/08,49,222
13/08,51,281
14/08,57,339
15/08,,395
16/08,,451
17/08,,505
18/08,,559
19/08,,612
20/08,,665
21/08,,717
