Date,Real,Predict
24/06,0,0
25/06,0,0
26/06,0,0
27/06,0,0
28/06,0,0
29/06,1,1
30/06,1,1
01/07,1,1
02/07,1,1
03/07,1,1
04/07,1,15
05/07,1,15
06/07,1,15
07/07,1,15
08/07,1,16
09/07,1,16
10/07,1,18
11/07,1,18
12/07,1,19
13/07,1,20
14/07,1,21
15/07,1,21
16/07,1,22
17/07,1,22
18/07,1,23
19/07,1,24
20/07,1,24
21/07,1,25
22/07,1,25
23/07,1,26
24/07,1,26
25/07,2,26
26/07,2,27
27/07,3,27
28/07,4,29
29/07,5,30
30/07,6,31
31/07,7,32
01/08,9,33
02/08,11,58
03/08,11,81
04/08,15,103
05/08,17,123
06/08,,142
07/08,,160
08/08,,177
09/08,,193
10/08,,209
11/08,,225
12/08,,240
