Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,1,1
05/07,1,1
06/07,1,1
07/07,1,1
08/07,1,1
09/07,1,12
10/07,1,12
11/07,1,12
12/07,1,13
13/07,1,13
14/07,1,13
15/07,1,15
16/07,1,15
17/07,1,15
18/07,1,16
19/07,1,17
20/07,1,18
21/07,1,18
22/07,1,19
23/07,1,19
24/07,1,20
25/07,1,20
26/07,1,20
27/07,1,21
28/07,1,22
29/07,1,21
30/07,2,21
31/07,2,23
01/08,3,23
02/08,4,24
03/08,5,25
04/08,6,26
05/08,7,27
06/08,9,29
07/08,10,31
08/08,10,32
09/08,15,32
10/08,18,38
11/08,20,42
12/08,21,44
13/08,23,45
14/08,25,48
15/08,26,50
16/08,28,52
17/08,31,54
18/08,34,57
19/08,36,61
20/08,37,63
21/08,40,64
22/08,43,68
23/08,46,72
24/08,47,76
25/08,48,77
26/08,51,79
27/08,51,83
28/08,53,83
29/08,53,86
30/08,53,123
31/08,54,164
01/09,55,208
02/09,55,255
03/09,,304
04/09,,355
05/09,,406
06/09,,458
07/09,,511
08/09,,563
09/09,,614
