Date,Real,Predict
29/06,641,641
30/06,650,650
01/07,244,244
02/07,88,88
03/07,14,14
04/07,15,15
05/07,91,91
06/07,4,4
07/07,15,15
08/07,4,4
09/07,3,140
10/07,2,3
11/07,333,2
12/07,111,331
13/07,17,110
14/07,17,16
15/07,111,16
16/07,23,108
17/07,40,23
18/07,81,39
19/07,76,80
20/07,83,75
21/07,14,82
22/07,124,13
23/07,76,122
24/07,99,74
25/07,224,97
26/07,16,220
27/07,205,15
28/07,14,203
29/07,239,13
30/07,44,233
31/07,46,43
01/08,41,44
02/08,94,40
03/08,85,91
04/08,156,83
05/08,63,151
06/08,134,61
07/08,53,131
08/08,97,52
09/08,144,94
10/08,147,142
11/08,192,99
12/08,306,97
13/08,50,96
14/08,219,95
15/08,,93
16/08,,92
17/08,,91
18/08,,90
19/08,,89
20/08,,88
21/08,,88
