Date,Real,Predict
29/06,8,8
30/06,9,9
01/07,9,9
02/07,11,11
03/07,12,12
04/07,15,15
05/07,21,21
06/07,26,26
07/07,29,29
08/07,33,33
09/07,40,52
10/07,51,60
11/07,59,72
12/07,76,82
13/07,103,101
14/07,114,130
15/07,128,143
16/07,144,158
17/07,173,176
18/07,211,208
19/07,234,250
20/07,257,276
21/07,315,303
22/07,365,364
23/07,424,417
24/07,479,477
25/07,545,535
26/07,614,603
27/07,684,676
28/07,799,751
29/07,914,865
30/07,1043,981
31/07,1149,1111
01/08,1324,1218
02/08,1495,1393
03/08,1659,1565
04/08,1877,1730
05/08,2093,1948
06/08,2312,2165
07/08,2497,2385
08/08,2732,2570
09/08,3001,2806
10/08,3309,3076
11/08,3570,3385
12/08,3795,3647
13/08,4018,3874
14/08,4303,4098
15/08,4585,4383
16/08,4900,4668
17/08,5185,4983
18/08,5440,5269
19/08,5747,5525
20/08,6059,5833
21/08,6337,6146
22/08,6658,6426
23/08,6998,6749
24/08,7290,7091
25/08,7556,7386
26/08,7798,7655
27/08,8085,7898
28/08,8356,8188
29/08,8612,8462
30/08,8857,8580
31/08,9192,8707
01/09,9495,8842
02/09,9832,8985
03/09,10082,9138
04/09,,9309
05/09,,9522
06/09,,9809
07/09,,10165
08/09,,10583
09/09,,11060
10/09,,11587
11/09,,12163
12/09,,12781
13/09,,13438
