Date,Real,Predict
29/06,641,641
30/06,650,650
01/07,244,244
02/07,88,88
03/07,14,14
04/07,15,15
05/07,91,91
06/07,4,4
07/07,15,15
08/07,4,4
09/07,3,151
10/07,2,3
11/07,333,2
12/07,111,332
13/07,17,111
14/07,17,16
15/07,111,16
16/07,23,108
17/07,40,22
18/07,81,39
19/07,76,80
20/07,83,75
21/07,14,83
22/07,124,14
23/07,76,122
24/07,99,74
25/07,224,97
26/07,16,221
27/07,205,15
28/07,14,203
29/07,239,13
30/07,44,233
31/07,46,43
01/08,41,44
02/08,94,38
03/08,85,91
04/08,156,83
05/08,63,150
06/08,134,61
07/08,53,130
08/08,97,54
09/08,144,95
10/08,147,144
11/08,192,143
12/08,306,189
13/08,50,300
14/08,219,100
15/08,9,98
16/08,190,97
17/08,91,97
18/08,,97
19/08,,99
20/08,,102
21/08,,109
22/08,,126
23/08,,147
24/08,,176
